sample,fastq_1,fastq_2,strandedness,type,sample_description,pair,treatment
SRX5554392,testdata/SRP189094/SRX5554392_SRR8763807.fastq.gz,,auto,rnaseq,OS_TOT_CON1,1,control
SRX5554393,testdata/SRP189094/SRX5554393_SRR8763808.fastq.gz,,auto,rnaseq,OS_TOT_SUB1,1,submergence
SRX5554396,testdata/SRP189094/SRX5554396_SRR8763811.fastq.gz,,auto,rnaseq,OS_TOT_CON3,3,control
SRX5554397,testdata/SRP189094/SRX5554397_SRR8763812.fastq.gz,,auto,rnaseq,OS_TOT_SUB3,3,submergence
SRX5554398,testdata/SRP189094/SRX5554398_SRR8763813.fastq.gz,,auto,rnaseq,OS_TOT_CON4,4,control
SRX5554399,testdata/SRP189094/SRX5554399_SRR8763814.fastq.gz,,auto,rnaseq,OS_TOT_SUB4,4,submergence
SRX5554408,testdata/SRP189094/SRX5554408_SRR8763823.fastq.gz,,auto,riboseq,OS_RS_CON3_R1,3,control
SRX5554408,testdata/SRP189094/SRX5554408_SRR8763824.fastq.gz,,auto,riboseq,OS_RS_CON3_R2,3,control
SRX5554409,testdata/SRP189094/SRX5554409_SRR8763825.fastq.gz,,auto,riboseq,OS_RS_CON1_R1,1,control
SRX5554409,testdata/SRP189094/SRX5554409_SRR8763826.fastq.gz,,auto,riboseq,OS_RS_CON1_R2,1,control
SRX5554410,testdata/SRP189094/SRX5554410_SRR8763827.fastq.gz,,auto,riboseq,OS_RS_SUB1_R1,1,submergence
SRX5554410,testdata/SRP189094/SRX5554410_SRR8763828.fastq.gz,,auto,riboseq,OS_RS_SUB1_R2,1,submergence
SRX5554411,testdata/SRP189094/SRX5554411_SRR8763829.fastq.gz,,auto,riboseq,OS_RS_SUB3_R1,3,submergence
SRX5554411,testdata/SRP189094/SRX5554411_SRR8763830.fastq.gz,,auto,riboseq,OS_RS_SUB3_R2,3,submergence
SRX5554412,testdata/SRP189094/SRX5554412_SRR8763831.fastq.gz,,auto,riboseq,OS_RS_CON4_R1,4,control
SRX5554412,testdata/SRP189094/SRX5554412_SRR8763832.fastq.gz,,auto,riboseq,OS_RS_CON4_R2,4,control
SRX5554413,testdata/SRP189094/SRX5554413_SRR8763833.fastq.gz,,auto,riboseq,OS_RS_SUB4_R1,4,submergence
SRX5554413,testdata/SRP189094/SRX5554413_SRR8763834.fastq.gz,,auto,riboseq,OS_RS_SUB4_R2,4,submergence
